질문ID,질문,사용자증상,연령대,의사진단,진단근거,해결책
64,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,20대,수면 장애의 주요 증상에 해당됨,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
65,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,20대,중등도 불면증일 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
66,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,50대 이상,경미한 수면 장애로 볼 수 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
67,'불면과 낮 동안의 피로 지속'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면과 낮 동안의 피로 지속,10대,수면 장애의 주요 증상에 해당됨,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
68,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,30대,기면증의 가능성이 있음,불면증의 주요 진단 기준에 해당됩니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
69,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,50대 이상,불면증의 초기 증상 가능성 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
70,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,50대 이상,기면증의 가능성이 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
71,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,50대 이상,경미한 수면 장애로 볼 수 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
72,'불면과 낮 동안의 피로 지속'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면과 낮 동안의 피로 지속,40대,기면증의 가능성이 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,잠자기 전에 전자기기 사용을 줄이세요.
73,'악몽을 자주 꾸고 잠을 못 이룸'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,악몽을 자주 꾸고 잠을 못 이룸,50대 이상,중등도 불면증일 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
74,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,20대,불면증의 초기 증상 가능성 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
75,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,20대,기면증의 가능성이 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
76,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,10대,경미한 수면 장애로 볼 수 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,잠자기 전에 전자기기 사용을 줄이세요.
77,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,20대,기면증의 가능성이 있음,불면증의 주요 진단 기준에 해당됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
78,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,40대,중등도 불면증일 수 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
79,'일어나도 피로감이 풀리지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일어나도 피로감이 풀리지 않음,10대,불면증의 초기 증상 가능성 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,잠자기 전에 전자기기 사용을 줄이세요.
80,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,50대 이상,불면증의 초기 증상 가능성 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
81,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,10대,불면증의 초기 증상 가능성 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
82,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,20대,기면증의 가능성이 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
83,'밤에 잠이 잘 오지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 잠이 잘 오지 않음,10대,경미한 수면 장애로 볼 수 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
84,'악몽을 자주 꾸고 잠을 못 이룸'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,악몽을 자주 꾸고 잠을 못 이룸,10대,기면증의 가능성이 있음,불면증의 주요 진단 기준에 해당됩니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
85,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,40대,불면증의 초기 증상 가능성 있음,불면증의 주요 진단 기준에 해당됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
86,'코골이와 호흡 문제로 잠을 방해받음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,코골이와 호흡 문제로 잠을 방해받음,20대,불면증의 초기 증상 가능성 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,잠자기 전에 전자기기 사용을 줄이세요.
87,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,10대,중등도 불면증일 수 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
88,'수면 패턴이 불규칙해짐'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,수면 패턴이 불규칙해짐,40대,불면증의 초기 증상 가능성 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
89,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,10대,수면 장애의 주요 증상에 해당됨,수면의 질 저하와 관련된 일반적인 증상입니다.,잠자기 전에 전자기기 사용을 줄이세요.
90,'일어나도 피로감이 풀리지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일어나도 피로감이 풀리지 않음,50대 이상,기면증의 가능성이 있음,수면 방해는 코골이나 호흡 문제로 인해 발생할 수 있습니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
91,'낮 동안에 지나친 졸음 경험'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,낮 동안에 지나친 졸음 경험,40대,경미한 수면 장애로 볼 수 있음,불면증의 주요 진단 기준에 해당됩니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
92,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,50대 이상,불면증의 초기 증상 가능성 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
93,'불면과 낮 동안의 피로 지속'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,불면과 낮 동안의 피로 지속,10대,중등도 불면증일 수 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,규칙적인 수면 패턴을 유지하고 수면 환경을 개선하세요.
94,'자기 전 생각이 많아져 수면이 방해됨'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,자기 전 생각이 많아져 수면이 방해됨,50대 이상,불면증의 초기 증상 가능성 있음,불면증의 주요 진단 기준에 해당됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
95,'밤에 자주 깨서 깊게 못 잠'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 자주 깨서 깊게 못 잠,40대,중등도 불면증일 수 있음,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,매일 같은 시간에 일어나는 습관을 유지하세요.
96,'일어나도 피로감이 풀리지 않음'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,일어나도 피로감이 풀리지 않음,40대,수면 장애의 주요 증상에 해당됨,기면증 환자에게서 나타나는 주간 졸음과 유사합니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
97,'악몽을 자주 꾸고 잠을 못 이룸'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,악몽을 자주 꾸고 잠을 못 이룸,20대,기면증의 가능성이 있음,수면의 질 저하와 관련된 일반적인 증상입니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
98,'밤에 자주 깨서 깊게 못 잠'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 자주 깨서 깊게 못 잠,40대,기면증의 가능성이 있음,수면 패턴의 불규칙함이 불면증과 관련됩니다.,잠자기 전에 전자기기 사용을 줄이세요.
99,'아침에 너무 일찍 깨어남'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,아침에 너무 일찍 깨어남,20대,수면 장애의 주요 증상에 해당됨,수면 패턴의 불규칙함이 불면증과 관련됩니다.,필요시 수면 전문 상담을 받는 것이 좋습니다.
100,'밤에 자주 깨서 깊게 못 잠'을 겪고 있습니다. 이 문제에 대해 어떤 조언을 주실 수 있나요?,밤에 자주 깨서 깊게 못 잠,30대,경미한 수면 장애로 볼 수 있음,불면증의 주요 진단 기준에 해당됩니다.,밤에 카페인을 피하고 차분한 음악을 들어보세요.
